# energy_center_GeV,theta_center_rad,density_per_GeV_rad,count
0.0015833333333333333,0.010833333333333334,0,0
0.0015833333333333333,0.011166666666666667,0,0
0.0015833333333333333,0.0115,0,0
0.0015833333333333333,0.011833333333333333,0,0
0.0015833333333333333,0.012166666666666666,0,0
0.0015833333333333333,0.012499999999999999,0,0
0.0015833333333333333,0.012833333333333334,0,0
0.0015833333333333333,0.013166666666666667,0,0
0.0015833333333333333,0.0135,0,0
0.0015833333333333333,0.013833333333333333,0,0
0.0015833333333333333,0.014166666666666666,0,0
0.0015833333333333333,0.014499999999999999,0,0
0.0015833333333333333,0.014833333333333332,0,0
0.0015833333333333333,0.015166666666666667,0,0
0.0015833333333333333,0.0155,0,0
0.0015833333333333333,0.015833333333333331,0,0
0.0015833333333333333,0.016166666666666666,0,0
0.0015833333333333333,0.016500000000000001,0,0
0.0015833333333333333,0.016833333333333332,0,0
0.0015833333333333333,0.017166666666666667,0,0
0.0015833333333333333,0.017499999999999998,0,0
0.0015833333333333333,0.017833333333333333,0,0
0.0015833333333333333,0.018166666666666668,0,0
0.0015833333333333333,0.018499999999999999,0,0
